===file:sqls_util/syntax/json_function_util.sql, id:32, sql:[SELECT MIN(data)->"$[0]" FROM test1;]===
mysql err:(1064, 'You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near \'->"$[0]" FROM test1\' at line 1')
dble err:(1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '-> '$[0]'\nFROM test1\nLIMIT 100' at line 1")
===file:sqls_util/syntax/json_function_util.sql, id:33, sql:[SELECT MIN(cast(data as char))->"$[0]" FROM test1;]===
mysql err:(1064, 'You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near \'->"$[0]" FROM test1\' at line 1')
dble err:(1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '-> '$[0]'\nFROM test1\nLIMIT 100' at line 1")
===file:sqls_util/syntax/json_function_util.sql, id:43, sql:[SELECT JSON_UNQUOTE(MIN(data)->"$[0]") FROM test1;]===
mysql err:(1064, 'You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near \'->"$[0]") FROM test1\' at line 1')
dble err:(1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '-> '$[0]')\nFROM test1\nLIMIT 100' at line 1")
===file:sqls_util/syntax/json_function_util.sql, id:45, sql:[SELECT JSON_UNQUOTE(MIN(cast(data as char))->"$[0]") FROM test1;]===
mysql err:(1064, 'You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near \'->"$[0]") FROM test1\' at line 1')
dble err:(1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '-> '$[0]')\nFROM test1\nLIMIT 100' at line 1")
===file:sqls_util/syntax/json_function_util.sql, id:55, sql:[SELECT MIN(data)->>"$[0]" FROM test1;]===
mysql err:(1064, 'You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near \'->>"$[0]" FROM test1\' at line 1')
dble err:(1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '->> '$[0]'\nFROM test1\nLIMIT 100' at line 1")
===file:sqls_util/syntax/json_function_util.sql, id:56, sql:[SELECT MIN(cast(data as char))->>"$[0]" FROM test1;]===
mysql err:(1064, 'You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near \'->>"$[0]" FROM test1\' at line 1')
dble err:(1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '->> '$[0]'\nFROM test1\nLIMIT 100' at line 1")
===file:sqls_util/syntax/json_function_util.sql, id:156, sql:[SELECT f1->>NULL FROM test1;]===
mysql err:(1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'NULL FROM test1' at line 1")
dble err:(1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'NULL\nFROM test1\nLIMIT 100' at line 1")
===file:sqls_util/syntax/json_function_util.sql, id:158, sql:[SELECT COUNT(*)->>"$.t" FROM test1;]===
mysql err:(1064, 'You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near \'->>"$.t" FROM test1\' at line 1')
dble err:(1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '->> '$.t'\nFROM test1\nLIMIT 100' at line 1")
===file:sqls_util/syntax/json_function_util.sql, id:160, sql:[SELECT MIN(f1)->>"$[1]" FROM test1;]===
mysql err:(1064, 'You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near \'->>"$[1]" FROM test1\' at line 1')
dble err:(1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '->> '$[1]'\nFROM test1\nLIMIT 100' at line 1")
